,Question,A,B,C,D,Answer
174,"يشير هذا السؤال إلى المعلومات الآتية.
المصدر 1:
“في أيام النضال الكبير ضد العدو الأجنبي الذي يسعى منذ ثلاث سنوات لاستعباد بلادنا، أرسل الرب لروسيا تجربة مؤلمة أخرى. فقد ظهر تهديد الاضطرابات الداخلية بأن يكون لها تأثير قاتل على التقدم اللاحق لهذه الحرب المتعنتة. إن مصائر روسيا، وشرف جيشها البطل، وسعادة شعبها، والمستقبل الكامل لبلدنا الحبيب، يتطلب خوض الحرب بأي ثمن حتى النصر.
العدو المتوحش يبذل جهوده الأخيرة، وقد اقتربت اللحظة التي سيتمكن فيها جيشنا الشجاع، بالتنسيق مع حلفائنا الشرفاء، من الإطاحة به أخيرًا. في هذه الأيام الحاسمة من تاريخ روسيا، اعتقدنا أننا ندين لشعبنا باتحاد جميع قواته الوثيق وتنظيمها لتحقيق نصر سريع؛ ولهذا السبب، وبالاتفاق مع مجلس الدوما الإمبراطوري، أدركنا أنه من مصلحة البلاد أن نتنازل عن تاج الدولة الروسية ونتخلى عن السلطة العليا”.
القيصر نيقولا الثاني، التنازل عن العرش، 15 مارس 1917
المصدر 2:
“لن يغفر التاريخ للثوار مماطلتهم حيث كان بإمكانهم أن ينتصروا اليوم (وسوف ينتصرون اليوم بالتأكيد)، في حين أنهم يخاطرون بخسارة الكثير غدًا، بل يخاطرون بخسارة كل شيء.
فإذا استولينا على السلطة اليوم، فإننا لا نستولي عليها معارضة للسوفييت، بل نيابة عنهم. الاستيلاء على السلطة هو عمل الانتفاضة؛ وسيتضح غرضها السياسي بعد الاستيلاء عليها….
ستكون جريمة تامة من جانب الثوار إن أضاعوا الفرصة، وهم يعلمون أن إنقاذ الثورة، وعرض السلام، وإنقاذ بتروغراد، والخلاص من المجاعة، ونقل الأرض إلى الفلاحين يعتمد عليهم.
الحكومة تترنح. ويجب أن تتلقى ضربة قاضية بأي ثمن”.
فلاديمير إيليتش لينين، دعوة إلى السلطة، 24 أكتوبر 1917
في ضوء أي مما يلي يُفهم إعلان القيصر نيقولا الثاني تنازله عن العرش في المصدر 1 على النحو الأفضل؟",الازدهار الاقتصادي الذي عزز كراهية الطبقة الأرستقراطية,كراهية واسعة النطاق لتسامح نيكولاس مع المنشقين السياسيين,خسائر عسكرية واسعة النطاق واستياء الطبقات العاملة,اضطهاد الأقليات الدينية,C
175,"يشير هذا السؤال إلى المعلومات الآتية.
كل شهرين، يرسل جلالته من ليما 60 ألف بيزو للإنفاق على منظومة العمل ميتا المخصصة للهنود. في سلسلة جبال هوانكافليكا، يعمل حوالي 3000 أو 4000 هندي في منجم الزئبق، ويكسرون المادة الخام بالمعاول والمطارق. وعندما يملأ العمال المساكين أكياسهم الصغيرة، كان عليهم أن يتسلقوا تلك السلالم مثقلين بحمولتهم وتجهيزاتهم والتي كانت مهمة شاقة بالكاد يتحملها الرجال. إنها الطريقة التي يعملون بها في هذا المنجم، وهم يعانون من الأضواء القوية والضجيج العالي الصادر عن الدق والبلبلة الكبيرة في هذا الجو. لم يكن هذا هو الشر الأعظم؛ إنه بسبب المشرفين اللصوص وغير المنضبطين. ووفقًا للترخيص الصادر عن جلالته، يحق لأصحاب المناجم في بوتوسي العمل بمنظومة ميتا بمشاركة 13,300 هندي. وكان أجر الهندي في منظومة ميتا 4 ريالات يوميًا. وإلى جانب هؤلاء الهنود، هناك آخرون يعملون ضمن هذه المنظومة ولكن من دون إجبار، حيث يتقدمون بأنفسهم للعمل طوعًا، فيحصل كل منهم على حوالي 12 إلى 16 ريالًا، ويصل أجر بعضهم إلى 24 ريالًا، حسب حسن استخدامهم لمعاولهم أو سمعتهم في معرفة كيفية استخراج المادة الخام.
أنطونيو فاسكيز دي إسبينوزا، تقرير عن التعدين في هوانكافليكا وبوتوسي، عشرينيات القرن السابع عشر
كان السبب الرئيسي الثالث للخراب الذي حاق بسكان ياكوت وتونغوس الأصليين هو أنهم اضطروا إلى دفع ضريبة الياساك منذ اللحظة التي وقعوا فيها تحت السيطرة الروسية. وقد سددها بعضهم بفراء السمور، وسددها البعض الآخر بفراء الثعالب الحمراء، وسددها غيرهم نقدًا.  في البداية كان ثمة الكثير من الحيوانات ذات الفراء في تلك المنطقة الممتدة من شواطئ المحيط المتجمد الشمالي على طول الطريق جنوبًا إلى نهر لينا العظيم، ولكنها الآن خاوية لا يوجد فيها أي سمور، أما الثعالب، فلم يتبق منها الكثير. أضف إلى ذلك أن نصف السكان الأصليين تقريبًا لم يعودوا قادرين على الصيد لأنه لم يعد لديهم خيول، فقد رهنوا الكثير منها لجامعي الياساك.
هاينريك فون فوش، ""حول معاملة السكان الأصليين في شمال شرق سيبيريا""، 1744
بأي من الطرق التالية نشأ نظام العمل المذكور في المقطع الأول؟",استعبد المستعمرون الإسبان السكان الأمريكيين الأصليين فورًا.,رفضت إسبانيا شراء العبيد من أفريقيا، واعتمدت بدلاً من ذلك على العمال من الأمريكيين الأصليين.,كيفت السلطات الإسبانية الأشكال المحلية لحشد العمالة لتتناسب مع أغراضها الخاصة.,اعتمد ملاك الأراضي الإسبان اعتمادًا كبيرًا على الزراعة الأحادية.,C
176,"يشير هذا السؤال إلى المعلومات الآتية.
في ذروة قوة حكام المغول الذين حملوا لقب خان، شكلت مناطق نفوذهم ملكًا واسعًا تعيش فيه الشعوب التي كانت متعادية سابقًا معًا في سلام، وكان هناك تسامح بين جميع الأديان تقريبًا. . . . أمر القانون الذي أصدره جنكيز خان لأول مرة بالتفاعل بين البشر، وكانت النتيجة مرحلة جديدة مهمة في التواصل الدولي. لقد كان بإمكان التجار والمسافرين التنقل عبر المناطق المغولية المحروسة جيدًا، من أوروبا الشرقية إلى جنوب الصين، من دون خوف على حياتهم أو ممتلكاتهم. وشكلت المساحة الكبيرة من الأراضي المغولية - التي غطت معظم أوروبا وآسيا والشرق الأوسط أو ربطتها - جسرًا بين حضارات نصف الكرة الشرقي. نقلت القوافل والسفارات التي عبرت الأراضي المغولية المأكولات والاختراعات والأفكار الجديدة من تجمع متحضر إلى آخر، ومن التجمعات المتحضرة إلى الشعوب الرحل الذين كانوا بمثابة الوسطاء. وكانت الطرق التجارية الآمنة مخصصة للتجار الأثرياء والمدن العالمية الثرية. كما سهلوا انتشار الطعام [و] الاختراعات. . . فكانوا قوة رئيسية للتنمية الاقتصادية والاجتماعية وتعزيز الحياة الحضارية.
—روبرت جوزيبي، 1992
تتنوع أنواع التراث أو مواءمة التراث في الإمبراطورية المغولية. أي مما يلي كان أبرزها؟",المكتبات العامة,الرعاية الصحية الشاملة,لعبة الشطرنج,التسامح الديني,D
177,"يشير هذا السؤال إلى المعلومات الآتية.
“وبالتالي أعلن ذلك الممثلون المذكورون أعلاه للملك والملكة في قشتالة وليون وأراغون وصقلية وغرناطة المذكورين آنفًا، ولملك البرتغال والغارف آنف الذكر، وما إلى ذلك:
[1.] أنه في حالة وجود جدل معين بين اللوردات المذكورين، وموكليهم، فيما يتعلق بالأراضي، من بين جميع تلك المناطق المكتشفة في البحر المحيط حتى يومنا هذا، تاريخ هذه المعاهدة، تتعلق بكل واحد من الأجزاء المذكورة على التوالي؛ فإنه، من أجل السلام والوفاق، ومن أجل الحفاظ على العلاقة والحب بين ملك البرتغال المذكور والملك والملكة في قشتالة وأراغون وغيرها، فإنه من دواعي سرور أصحاب السمو، هم، والممثلون المذكورون، الذين ينوبون عنهم وبموجب سلطاتهم الموصوفة هنا، أن يتعهدوا ويتفقوا على تحديد خط حدود أو خط مستقيم ورسمه من الشمال والجنوب، من القطب إلى القطب، على البحر المحيط المذكور، من القطب الشمالي إلى القطب الجنوبي. تُرسم هذه الحدود أو هذا الخط بشكل مستقيم، كما سبق ذكره، على مسافة ثلاثمائة وسبعين فرسخًا غرب جزر الرأس الأخضر، وتحسب بالدرجات، أو بأي طريقة أخرى يمكن اعتبارها الأفضل والأكثر جاهزية، بشرط ألا تكون المسافة أكبر مما ذكر أعلاه. وجميع الأراضي، سواء الجزر أو البر الرئيسي، التي سبق العثور عليها واكتشافها، أو التي سيعثر عليها أو يكتشفها فيما بعد ملك البرتغال المذكور ومن خلال سفنه على هذا الجانب من الخط المذكور والحدود المحددة على النحو الوارد أعلاه، باتجاه الشرق، في خط العرض الشمالي أو الجنوبي، على الجانب الشرقي من الحد المذكور بشرط عدم تجاوز الحد المذكور، ستعود لملك البرتغال المذكور وإلى خلفائه وتظل في حوزتهم إلى الأبد. وجميع الأراضي الأخرى، سواء الجزر أو البر الرئيسي، التي سبق العثور عليها أو التي سيتم العثور عليها فيما بعد، وسبق اكتشافها أو سيتم اكتشافها فيما بعد، والتي تم اكتشافها أو سيتم اكتشافها من قبل ملك وملكة قشتالة وأراغون، وغيرها، ومن خلال سفنهما، على الجانب الغربي من الحد المذكور، المحدد على النحو الوارد أعلاه، بعد اجتياز الحد المذكور باتجاه الغرب، في خط عرضه الشمالي أو الجنوبي، ستعود إلى ملك وملكة قشتالة وليون وغيرها، وإلى خلفائهما وتظل في حوزتهم إلى الأبد.
معاهدة تورديسيلاس، 1494
أي من التطورات التاريخية التالية توفر أفضل سياق للمعاهدة المذكورة أعلاه؟",الاستكشاف البحري الأوروبي,الانخراط الأوروبي في تجارة الرقيق الأفريقية,الثورة العلمية,الإصلاح البروتستانتي,A
178,"يشير هذا السؤال إلى المعلومات الآتية.
اعلم أن النفس كمن يجلس في عربة، والجسد هو العربة، والبصيرة هي قائد العربة، والعقل هو اللجام. من يمتلك الدراية والوعي والنقاء الدائم، يصل فعليًا إلى ذلك المكان الذي لن يولد منه مرة أخرى.
من الأبانيشاد، الهند، حوالي القرنين السابع - الخامس قبل الميلاد
أي من التغييرات التالية في الممارسات الدينية الهندية حدثت في عهد الإمبراطور الماوري أشوكا؟",صعود السيخية باعتبارها عقيدة توفيقية,وصول الإسلام باعتباره دينًا جديدًا حمله الغزاة الخارجيون معهم,القضاء على الهندوسية التقليدية بالقوة المسلحة,التشجيع الرسمي للمراسيم البوذية,D
179,"يشير هذا السؤال إلى المعلومات الآتية.
في الوقت الذي جادل فيه بعض المنظرين في العصور الوسطى بأن الجهاد كان حربًا دفاعية... رأت معظم المرجعيات أن فرض الجهاد لا يسقط حتى ينضوي العالم كله تحت راية الإسلام. ويؤكد كتاب “بحر الفوائد” الموضوع في خمسينيات أو ستينيات القرن الثاني عشر، على أن الواجب الأول للحاكم المسلم هو مواصلة الجهاد وتحقيق انتصار الإسلام، فإن لم يفعل ذلك وصالح الكافر، فمن الأفضل لذلك الحاكم أن يكون ميتًا لا حيًا، لأنه يفسد العالم بهذا الصنيع.
روبرت إروين، “الإسلام والحروب الصليبية”، 1995
ومن العجب أن النصارى المجاورين لجبل لبنان إذا رأوا به بعض المنقطعين من المسلمين جلبوا لهم القوت وأحسنوا إليهم، ويقولون: هؤلاء ممن انقطع إلى الله عز وجل فتجب مشاركتهم. وتجار النصارى أيضا لا يمنع أحد منهم ولا يعترض.
ابن جبير، عالم مسلم، في أثناء سفره إلى مكة والقدس، حوالي 1185 م
يقوض المقطع الثاني الافتراضات التاريخية التقليدية من خلال",إظهار أن العداءات على مستوى الدولة في الشرق الأوسط خلال فترة الحروب الصليبية لم تنعكس دائمًا على الحياة الشخصية أو الاقتصادية.,إظهار أن مسلمي الشرق الأوسط خلال فترة الحروب الصليبية لم يأخذوا الالتزامات الدينية على محمل الجد كما فعل المسيحيون.,إظهار أن المسلمين بشكل عام كانوا أرحم من المسيحيين في الشرق الأوسط خلال فترة الحروب الصليبية.,إظهار أن العوامل الاقتصادية في الشرق الأوسط خلال فترة الحروب الصليبية تغلبت على جميع الاعتبارات الأخرى.,A
180,"يشير هذا السؤال إلى المعلومات الآتية.
“كان وجود ولايات منفصلة في هذه الفترة في شمال الهند عادة أكثر من مجرد كلام منثور. وقد كان الزاميندار الذي دفع الإيرادات للمغول في وضع التبعية بكل وضوح، وإذا ما رغب في إثبات مطالبته بالسيادة، فالخطوة الأولى كانت رفض دفع الإيرادات أو إهمال دفعها. ولكن هذا الإهمال قد يحدث نتيجة لأسباب أخرى مختلفة، ومن المحتمل وجود العديد من الزعماء والقبائل في راجبوتانا ووسط الهند وشوتا ناجبور يشغلون ما يعده المحامون الدستوريون منصبًا شاذًا، فيدفعون الإيرادات المنصوص عليها أحيانًا، وقد يدخلون في تمرد مفتوح أحيان أخرى، وقد يتمتعون باستقلال عملي في أحيان ثالثة لأن السلطات المغولية وجدت أنه من غير المناسب اتخاذ إجراءات فعالة للإلزام”.
و.هـ. مورلاند، الهند عند وفاة أكبر، 1920
أي من التعميمات التالية يمكن اعتبار وصف مورلاند لتحصيل الإيرادات في الإمبراطورية المغولية دليلاً عليه؟",كان مطلوبًا من أتباع ديانات معينة فقط دفع الإيرادات للإمبراطورية.,ربما أثرت الاختلافات الجغرافية على المجموعات التي تدفع الضرائب.,كان تحصيل الإيرادات هو المصدر الوحيد للأموال التي كانت تُدار من خلالها إمبراطورية المغول.,كانت راجبوتانا حالة نموذجية في الإمبراطورية المغولية.,B
181,"يشير هذا السؤال إلى المعلومات الآتية.
المصدر 1:
“ونعلنه أيضًا بحواسنا من كل الجوانب، ونقدس أشرف الحواس، وهي البصر. الصورة تذكار، تمامًا كما الكلمات للأذن المصغية. ما يعنيه الكتاب للمتعلم، هو ما تعنيه الصورة للأمي. الصورة تتحدث إلى البصر كما تتحدث الكلمات إلى الأذن؛ فتوصل لنا الفهم”.
يوحنا الدمشقي، الدفاع عن الأيقونات المقدسة ضد الذين ينتقصونها، حوالي 730 م
المصدر 2:
“لجعل اعترافنا موجزًا، فإننا نتمسك بثبات بجميع التقاليد الكنسية التي ورثناها، المكتوبة منها والشفهية، من دون تغيير، ومنها عمل تمثيلات تصويرية، متوافقة مع تاريخ الكرازة بالإنجيل، وهو تقليد مفيد في مناحٍ كثيرة، لا سيما أنه يظهر تجسيد كلمة الله وكأنها حقيقية وليس مجرد خيال، لأن لها دلالات متبادلة، وبلا شك لها أيضًا معانٍ مشتركة”.
مرسوم مجمع نيقية الثاني، 787م
في أي السياقات التالية يمكن فهم الجدل الديني الذي دار في بيزنطة في أواخر القرن الثامن والذي أدى إلى كتابة هذه المقاطع؟",الخلاف حول طبيعة الألوهية الحقيقية,الخلاف حول دور الكهنوت,الخلاف حول الاستخدام المناسب للأيقونات الدينية,الخلاف حول أفضل ممارسات الزهد,C
182,"يشير هذا السؤال إلى المعلومات الآتية.
تحت أي مبدأ عقلاني إذًا يرسل هؤلاء الأجانب في المقابل مخدرًا سامًا؟  وإذ لا نقصد أن نقول إن الأجانب يضمرون مثل هذه النوايا التدميرية في قلوبهم، فإننا مع ذلك نجزم بإيجابية أن تعطشهم الجامح للمكاسب يجعلهم لا يبالون حقيقة بالأذى الذي يلحقونه بنا! ولما كان الأمر كذلك، فإننا نود أن نسأل عن مصير ذلك الضمير الذي زرعته السماء في صدور جميع البشر؟ لقد سمعنا أن الأفيون محرم في بلدكم بأقصى درجات التشدد والصرامة، ويدل ذلك بشدة على أنكم تعلمون جيدًا مدى ضرره على البشرية. ولما كنتم لا تسمحون بوقوع ضرره على بلادكم، فينبغي ألا تنقلوا هذا المخدر الضار إلى بلد آخر، فما بالكم بالصين! من بين المنتجات التي تصدرها الصين إلى بلدانكم الأجنبية، لا يوجد منتج واحد لا يفيد البشرية بطريقة أو بأخرى.
لين زيكسو، مفوض التجارة الصيني، رسالة إلى الملكة فيكتوريا، 1839
بأي من التطورات الواسعة التالية ترتبط الفقرة؟",استعباد أوروبا للمواطنين الصينيين,توسع أوروبا في النشاط التبشيري في الصين,هيمنة أوروبا الاقتصادية على الصين,استعمار أوروبا للأراضي الصينية,C
183,"يشير هذا السؤال إلى المعلومات الآتية.
“قال الزواوي: قال لي هذا السّلطان موسى أن عنده في مدينة اسمها زكري معدن النحاس الأحمر يجلب منه قضبان إلى مدينة بيتي. وقال: ليس لي في مملكتي شيء يمكس سوى هذا النحاس المعدني الذي يجلب. فإنه يؤخذ منه خاصة لا غير ونحن نبعثه إلى بلاد السودان الكفار نبيعه وزن مثقال بثلثي وزنه من الذهب فنبيع كل مئة من هذا النحاس بستة وستين مثقالا وثلثي مثقال من الذهب. وقال لي: إن عنده أمما من الكفار في مملكته وهو لا يأخذ منهم جزية وإنما يستعملهم في استخراج الذهب من معادنه. إن معادن الذهب تحفر الجورة عمق قامة أو ما يقاربها فيوجد الذهب في جنباتها وربما يوجد مجتمعا في سفل تلك الحفائر.
من ن. ليفتزيون وج. ف. ب. هوبكنز، محرران. مجموعة
المصادر العربية المبكرة حول تاريخ غرب أفريقيا. مطبعة
جامعة كامبردج، 1981 أعيدت طباعته بإذن من
مطبعة جامعة كامبردج
العمري، حوالي 1300-1384
أي من الاستنتاجات التالية تدعمها مناقشة النحاس والذهب في الفقرة؟",تمكنت مالي من صناعة أدوات برونزية متطورة من مواردها المعدنية.,تضمنت التجارة الدولية مع أفريقيا جنوب الصحراء الكبرى تبادل الموارد المعدنية.,يمكن جمع الجزية فقط من الكفار الذين لديهم معادن يمكن استغلالها.,كانت تقنيات التعدين المتقدمة نسبيًا في مالي وراء ثروتها المعدنية.,B
184,"يشير هذا السؤال إلى المعلومات الآتية.
يَا أَيُّهَا الَّذِينَ آمَنُواْ إِنَّمَا الْخَمْرُ وَالْمَيْسِرُ وَالأَنصَابُ وَالأَزْلامُ رِجْسٌ مِنْ عَمَلِ الشَّيْطَانِ فَاجْتَنِبُوهُ لَعَلَّكُمْ تُفْلِحُونَ
القرآن الكريم، سورة المائدة آية 89
لما ترى الورود قد زهت وأزهرت،
فقد آن الأوان، فقم حبيبي وهات الراح واسقنيها.
رباعيات عمر الخيام
أي من أنماط الخطاب الديني التالية تعكسها نبرة الآية الأولى؟ ",أمر متشدد بالالتزام بقواعد سلوك صارمة,دعوة مسكونية للتسامح الديني ,خطبة عن احترام السلطة السياسية,محاولة حماسية لهداية غير المؤمنين,A
185,"يشير هذا السؤال إلى المعلومات الآتية.
سواء كانت المسألة الاستمرار في ممارسة الساتي أو التوقف عنها، فإن القرار محاط أيضًا بقدر من المسؤولية المرعبة. إن الموافقة على إرسال مئات الضحايا الأبرياء سنة بعد سنة ليواجهن نهاية وحشية وسابقة لأوانها، عندما تمتلك القوة لمنع ذلك، هو مأزق لا يمكن لأي ضمير أن يفكر فيه من دون الشعور بالرعب. وبالمقابل، فإن تعريض سلامة الإمبراطورية البريطانية بذاتها في الهند للخطر، بسبب اتباع مسار معاكس، هو بديل يمكن اعتباره في حد ذاته شرًا أكبر. عندما كان لدينا جيران أقوياء وسبب أكبر للشك في أمننا، كانت الذرائعية لتوصي بإجراءات أكثر حذرًا، ولكن الآن بعد أن أصبحنا متفوقين، فإن رأيي يؤيد بالتأكيد حظرًا مفتوحًا وعامًا.
ويليام بينتينك، الحاكم العام للهند، “حول قمع ممارسة الساتي”، 1829
لقد جعلت شغلي الشاغل دراسة الطبيعة الشخصية للهنود [الذين يتاجرون معنا] وطبائعهم، ومهما كان ذلك بغيضًا لمشاعرنا، فأنا مقتنع بأنه يجب حكمهم بالحديد والنار، لجعلهم في حالة من التبعية المناسبة وإبقائهم عليها، والطريقة الأكثر ضمانًا لتحقيق ذلك هي جعلهم يشعرون باعتمادهم على [المواد الغذائية والسلع المصنعة التي نبيعها لهم].
جورج سيمبسون، رئيس القسم الشمالي، شركة خليج هدسون، 1826
أي من الموارد التالية كان مؤلف الفقرة الثانية مهتمًا على الأرجح بالحصول عليها من السكان المحليين؟",العاج,التبغ,الفضة,الفراء,D
186,"يشير هذا السؤال إلى المعلومات الآتية.
المصدر 1:
“في أيام النضال الكبير ضد العدو الأجنبي الذي يسعى منذ ثلاث سنوات لاستعباد بلادنا، أرسل الرب لروسيا تجربة مؤلمة أخرى. فقد ظهر تهديد الاضطرابات الداخلية بأن يكون لها تأثير قاتل على التقدم اللاحق لهذه الحرب المتعنتة. إن مصائر روسيا، وشرف جيشها البطل، وسعادة شعبها، والمستقبل الكامل لبلدنا الحبيب، يتطلب خوض الحرب بأي ثمن حتى النصر.
العدو المتوحش يبذل جهوده الأخيرة، وقد اقتربت اللحظة التي سيتمكن فيها جيشنا الشجاع، بالتنسيق مع حلفائنا الشرفاء، من الإطاحة به أخيرًا. في هذه الأيام الحاسمة من تاريخ روسيا، اعتقدنا أننا ندين لشعبنا باتحاد جميع قواته الوثيق وتنظيمها لتحقيق نصر سريع؛ ولهذا السبب، وبالاتفاق مع مجلس الدوما الإمبراطوري، أدركنا أنه من مصلحة البلاد أن نتنازل عن تاج الدولة الروسية ونتخلى عن السلطة العليا”.
القيصر نيقولا الثاني، التنازل عن العرش، 15 مارس 1917
المصدر 2:
“لن يغفر التاريخ للثوار مماطلتهم حيث كان بإمكانهم أن ينتصروا اليوم (وسوف ينتصرون اليوم بالتأكيد)، في حين أنهم يخاطرون بخسارة الكثير غدًا، بل يخاطرون بخسارة كل شيء.
فإذا استولينا على السلطة اليوم، فإننا لا نستولي عليها معارضة للسوفييت، بل نيابة عنهم. الاستيلاء على السلطة هو عمل الانتفاضة؛ وسيتضح غرضها السياسي بعد الاستيلاء عليها….
ستكون جريمة تامة من جانب الثوار إن أضاعوا الفرصة، وهم يعلمون أن إنقاذ الثورة، وعرض السلام، وإنقاذ بتروغراد، والخلاص من المجاعة، ونقل الأرض إلى الفلاحين يعتمد عليهم.
الحكومة تترنح. ويجب أن تتلقى ضربة قاضية بأي ثمن”.
فلاديمير إيليتش لينين، دعوة إلى السلطة، 24 أكتوبر 1917
ما الأساس الفلسفي الرئيسي لدعوة لينين إلى السلطة في المصدر 2؟",الرأسمالية,النزعة التجارية,الفاشية,الماركسية,D
187,"يشير هذا السؤال إلى المعلومات الآتية.
تتحدث القصيدة التالية عن حادث وقع في شاربفيل بجنوب أفريقيا عام 1960. فقد اجتمع حشد من مواطني جنوب أفريقيا السود أمام مراكز الشرطة من دون أوراقهم التي تثبت هويتهم وإقامتهم احتجاجًا على اشتراط حملهم لهذه الأوراق. ورغم أن الاحتجاجات الأخرى انتهت بصورة سلمية، إلا أن الشرطة في شاربفيل أطلقت النار على المحتشدين.
إن الأهمية
التي اكتسبتها أحداث شاربفيل
لم تنبع فقط من قتل سبعين
ولا حتى من أن الرصاص أطلق عليهم من الخلف
وهم ينسحبون عزلاً من دون سلاح 
وليس السبب بالتأكيد
الرصاصة ثقيلة العيار
التي اخترقت ظهر أم
ومزقت جسد طفلها بين ذراعيها
فقتلته
تذكر شاربفيل
يوم اخترق الرصاص الظهور
لأنها جسدت القمع
وطبيعة المجتمع
بأوضح ما يمكن؛
لقد كان الحدث الكلاسيكي
لا يوجد أي مكان آخر تهيمن عليه العنصرية
وتتجلى بكل هذا الوضوح
لا يوجد أي مكان آخر تُقمع فيه الإرادة
وتطغى بكل هذا الوضوح
ما قيمة همس العالم
ونظام الفصل العنصري يعلن بالبنادق الهادرة
الدم الذي يتعطش إليه الأغنياء
جنوب أفريقيا تريق الغبار
تذكر شاربفيل
تذكر يوم اخترق الرصاص الظهور
وتذكر إرادة الحرية المتقدة غير القابلة للانطفاء
تذكر الموتى
وكن سعيدًا
—دينيس بروتوس، 1973
ما الحدث الذي يرمز إلى نهاية التمييز المؤسسي في جنوب أفريقيا؟",انتخاب فريديريك ويليم دي كليرك,انتخاب نيلسون مانديلا,قصف ليسوتو,حرب البوير,B
188,"يشير هذا السؤال إلى المعلومات الآتية.
“وبالتالي أعلن ذلك الممثلون المذكورون أعلاه للملك والملكة في قشتالة وليون وأراغون وصقلية وغرناطة المذكورين آنفًا، ولملك البرتغال والغارف آنف الذكر، وما إلى ذلك:
[1.] أنه في حالة وجود جدل معين بين اللوردات المذكورين، وموكليهم، فيما يتعلق بالأراضي، من بين جميع تلك المناطق المكتشفة في البحر المحيط حتى يومنا هذا، تاريخ هذه المعاهدة، تتعلق بكل واحد من الأجزاء المذكورة على التوالي؛ فإنه، من أجل السلام والوفاق، ومن أجل الحفاظ على العلاقة والحب بين ملك البرتغال المذكور والملك والملكة في قشتالة وأراغون وغيرها، فإنه من دواعي سرور أصحاب السمو، هم، والممثلون المذكورون، الذين ينوبون عنهم وبموجب سلطاتهم الموصوفة هنا، أن يتعهدوا ويتفقوا على تحديد خط حدود أو خط مستقيم ورسمه من الشمال والجنوب، من القطب إلى القطب، على البحر المحيط المذكور، من القطب الشمالي إلى القطب الجنوبي. تُرسم هذه الحدود أو هذا الخط بشكل مستقيم، كما سبق ذكره، على مسافة ثلاثمائة وسبعين فرسخًا غرب جزر الرأس الأخضر، وتحسب بالدرجات، أو بأي طريقة أخرى يمكن اعتبارها الأفضل والأكثر جاهزية، بشرط ألا تكون المسافة أكبر مما ذكر أعلاه. وجميع الأراضي، سواء الجزر أو البر الرئيسي، التي سبق العثور عليها واكتشافها، أو التي سيعثر عليها أو يكتشفها فيما بعد ملك البرتغال المذكور ومن خلال سفنه على هذا الجانب من الخط المذكور والحدود المحددة على النحو الوارد أعلاه، باتجاه الشرق، في خط العرض الشمالي أو الجنوبي، على الجانب الشرقي من الحد المذكور بشرط عدم تجاوز الحد المذكور، ستعود لملك البرتغال المذكور وإلى خلفائه وتظل في حوزتهم إلى الأبد. وجميع الأراضي الأخرى، سواء الجزر أو البر الرئيسي، التي سبق العثور عليها أو التي سيتم العثور عليها فيما بعد، وسبق اكتشافها أو سيتم اكتشافها فيما بعد، والتي تم اكتشافها أو سيتم اكتشافها من قبل ملك وملكة قشتالة وأراغون، وغيرها، ومن خلال سفنهما، على الجانب الغربي من الحد المذكور، المحدد على النحو الوارد أعلاه، بعد اجتياز الحد المذكور باتجاه الغرب، في خط عرضه الشمالي أو الجنوبي، ستعود إلى ملك وملكة قشتالة وليون وغيرها، وإلى خلفائهما وتظل في حوزتهم إلى الأبد.
معاهدة تورديسيلاس، 1494
أي من الاستنتاجات التالية يفسر سبب إصرار الملك والملكة في قشتالة وأراغون على السيطرة الإسبانية على الأراضي الواقعة غرب خط ترسيم الحدود؟",رغب الإسبان في دفع الولايات البربرية إلى اعتناق الكاثوليكية.,اعتقد الإسبان أن البرتغال لم تكن على علم باكتشافهم للعالم الجديد.,أراد الإسبان الحفاظ على استقلال الدول الأصلية في العالم الجديد لتبقى حاجزًا ضد التوسع البرتغالي.,اعتقد الإسبان أن غزو الهند سيكون أصعب من غزو العالم الجديد.,B
